temple,instructionrooms,sealingrooms,baptismrooms,squarefootage,acreage,stakes,districts,all_units,elevation_ft,tower_spire,att_tower_spire,angelmoroni,announcement,groundbreaking,dedication,location,status,date,templeOrgId,templeNameId,city,stateRegion,country,sortDate,type,lat,long,prophet,interval,prophet_start,prophet_end
Buenos Aires Argentina Temple,4,3,1,30659,3.73,47,12,59,42.9,6,Detached,Yes,1980-04-02,1983-04-20,1986-01-17,"Ciudad Evita, Buenos Aires, Argentina",OPERATING,17 January 1986,30,buenos-aires-argentina-temple,Ciudad Evita, Buenos Aires,Argentina,"January 17, 1986",NA,-34.7176772,-58.5295556,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Burley Idaho Temple,4,3,1,38600,10.1,NA,NA,NA,NA,1,Attached,No,2021-04-04,2022-06-04,NA,Location Not Available,CONSTRUCTION,Construction,4138365,burley-idaho-temple,,,United States,,United States,39.7837304,-100.445882,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Calgary Alberta Temple,2,3,1,33000,10.17,8,0,8,NA,1,Attached,Yes,2008-10-04,2010-05-15,2012-10-28,"Calgary, Alberta, Canada",OPERATING,28 October 2012,4005411,calgary-alberta-temple,Calgary, Alberta,Canada,"October 28, 2012",NA,51.0456064,-114.0575418,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Campinas Brazil Temple,4,3,1,48100,6.18,67,17,84,NA,1,Attached,Yes,1997-04-03,1998-05-01,2002-05-17,"Campinas, Sao Paulo, Brazil",OPERATING,17 May 2002,36554,campinas-brazil-temple,Campinas, Sao Paulo,Brazil,"May 17, 2002",NA,-22.9056391,-47.059564,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Caracas Venezuela Temple,2,2,1,15332,0.5,33,6,39,NA,1,Attached,Yes,1995-09-30,1999-01-10,2000-08-20,"Caracas, Dependencias Federales, Venezuela",OPERATING,20 August 2000,68,caracas-venezuela-temple,Caracas, Dependencias Federales,Venezuela,"August 20, 2000",NA,10.5060934,-66.9146008,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Cardston Alberta Temple,4,5,1,88562,10,13,0,13,NA,1,Attached,No,1913-06-27,1913-11-09,1923-08-26,"Cardston, Alberta, Canada",OPERATING,26 August 1923,21,cardston-alberta-temple,Cardston, Alberta,Canada,"August 26, 1923",NA,49.2001157,-113.3165704,Joseph F. Smith,1901-10-17 UTC--1918-11-19 UTC,1901-10-17T00:00:00Z,1918-11-19T00:00:00Z
Casper Wyoming Temple,1,1,1,10000,9.5,NA,NA,NA,NA,1,Attached,No,2021-04-04,2021-10-09,NA,"Casper, Wyoming, United States",CONSTRUCTION,Construction,4138362,casper-wyoming-temple,Casper, Wyoming,United States,,NA,42.8501191,-106.325138,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Cebu City Philippines Temple,2,2,1,29556,11.6,41,30,71,194.8,1,Attached,Yes,2006-04-18,2007-11-14,2010-06-13,"Cebu City, Cebu, Philippines",OPERATING,13 June 2010,77199,cebu-city-philippines-temple,Cebu City, Cebu,Philippines,"June 13, 2010",NA,10.2931062,123.9020773,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Cedar City Utah Temple,2,3,1,42657,9.5,17,0,17,NA,1,Attached,Yes,2013-04-06,2015-08-08,2017-12-10,"Cedar City, Utah, United States",OPERATING,10 December 2017,4028590,cedar-city-utah-temple,Cedar City, Utah,United States,"December 10, 2017",NA,37.6774238,-113.061827,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Chicago Illinois Temple,5,3,1,37062,13,13,0,13,685.4,6,Detached,Yes,1981-04-01,1983-08-13,1985-08-09,"Glenview, Illinois, United States",OPERATING,9 August 1985,24,chicago-illinois-temple,Glenview, Illinois,United States,"August 9, 1985",NA,38.3084193,-85.6505526,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Ciudad Juárez Mexico Temple,2,2,1,10700,1.64,12,0,12,NA,1,Attached,Yes,1998-05-07,1999-01-09,2000-02-26,"Ciudad Juárez, Chihuahua, Mexico",OPERATING,26 February 2000,36555,ciudad-juarez-mexico-temple,Ciudad Juárez, Chihuahua,Mexico,"February 26, 2000",NA,31.7372575,-106.4856559,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
